Timestamp,Email address,1. What task do you need to do?,2.Which course is this task for?,3.When is the task due?,4.What type of task is it?,5.How much time does this task take?,6.Which year are you studying in?,7.Where do you usually do this task?,8.What is the priority of this task?
45779.28229166667,gcantu@example.com,Study,Not Course Related,45790.06523148148,Exam Preparation,>3 hours,3rd year,Home,Low
45771.04314814815,heatherwatson@example.net,Collect dataset,AIML,45803.5655787037,Exam Preparation,>3 hours,3rd year,Home,Low
45750.31363425926,shawnmolina@example.org,Study,Renewable Energy,45782.47761574074,Assignment,2-3 hours,3rd year,Home and college,Low
45762.84226851852,yperez@example.org,Seminar,Cloud Computing,45790.949907407405,Quiz Preparation,1 hour,3rd year,Home,Low
45755.13895833334,wshaw@example.com,Assignment,Renewable Energy,45786.631423611114,Project,>3 hours,2nd year,Home,Low
45779.39730324074,nicholas02@example.net,Prepare,TOC,45792.90827546296,Project,1-2 hours,4th year,Home and college,Low
45752.63719907407,elizabeth10@example.org,Prepare,DBMS,45809.174849537034,Short Film,>3 hours,3rd year,Home,Low
45766.79347222222,apriljohnson@example.org,Prepare,CSE,45785.94431712963,Placement Preparation,1-2 hours,3rd year,Home and college,Low
45777.61616898148,breannamays@example.net,Collect dataset,Mathematics,45791.01917824074,Exam Preparation,2-3 hours,3rd year,Home and college,Low
45765.36479166667,edward60@example.net,Prepare,AIML,45805.129282407404,Exam Preparation,2-3 hours,2nd year,Home and college,Low
45755.172488425924,pricebrenda@example.org,Project,Cloud Computing,45796.266388888886,Assignment,1 hour,3rd year,Home,Low
45776.311273148145,heberttiffany@example.com,Collect dataset,Big Data Analytics,45805.35909722222,Placement Preparation,>3 hours,3rd year,Home and college,Low
45752.942662037036,mchurch@example.com,Prepare,Mathematics,45808.778333333335,Seminar Preparation,1-2 hours,2nd year,Home,Low
45778.329560185186,olewis@example.net,Seminar,Cloud Computing,45786.750451388885,Exam Preparation,1-2 hours,3rd year,Home,Low
45767.748344907406,daniel30@example.com,Assignment,IoT,45805.34365740741,Exam Preparation,>3 hours,3rd year,Home,Low
45770.1531712963,scampbell@example.net,Collect dataset,Video Editing,45787.913993055554,Project,2-3 hours,2nd year,Home,Low
45769.10560185185,marissabowman@example.net,Prepare,It,45804.87998842593,Written Work,>3 hours,3rd year,Home,Low
45754.01835648148,collinshannah@example.net,Assignment,It,45788.00038194445,Project,1-2 hours,2nd year,Home,Low
45753.45056712963,jandrews@example.org,Seminar,Javascript,45795.84601851852,Project,2-3 hours,2nd year,Home,Low
45758.722592592596,thomas10@example.net,Collect dataset,Ios,45791.17037037037,Quiz Preparation,1 hour,3rd year,Home,Low
45779.21287037037,candace57@example.org,Project,Renewable Energy,45789.124293981484,Exam Preparation,2-3 hours,2nd year,Home,Low
45771.41347222222,pamelagarcia@example.net,Assignment,DBMS,45787.93158564815,Quiz Preparation,1 hour,3rd year,Home,Low
45760.01284722222,angelaharris@example.org,Prepare,CSE,45792.053981481484,Written Work,>3 hours,3rd year,Home,Low
45765.58972222222,josephsoto@example.org,Collect dataset,App Development,45796.39917824074,Project,1 hour,2nd year,Home,Low
45758.30081018519,vasquezmark@example.net,Prepare,OOSE,45804.018912037034,Assignment,1 hour,2nd year,Home,Low
45756.40688657408,rossmario@example.org,Assignment,Not Course Related,45799.8115625,Exam Preparation,>3 hours,3rd year,Home,Low
45777.321377314816,garciajennifer@example.org,Study,Algorithm,45797.992939814816,Exam Preparation,>3 hours,3rd year,Home and college,Low
45769.955034722225,qsavage@example.org,Project,OOSE,45785.24952546296,Project,>3 hours,3rd year,Home and college,High
45771.619988425926,fwashington@example.net,Prepare,TOC,45807.61616898148,Exam Preparation,2-3 hours,3rd year,Home,High
45761.628333333334,ryanmeyers@example.org,Study,Ios,45785.17230324074,Project,>3 hours,2nd year,Home and college,High
45773.75622685185,alice63@example.com,Study,CSE,45797.6674537037,Project,1 hour,2nd year,Home,High
45771.50164351852,kellyhenderson@example.org,Study,Not Course Related,45807.37976851852,Exam Preparation,>3 hours,3rd year,Home and college,High
45775.317557870374,jasoncain@example.org,Seminar,Renewable Energy,45798.80436342592,Exam Preparation,>3 hours,3rd year,Home,High
45762.63827546296,beth86@example.com,Collect dataset,AIML,45781.97550925926,Exam Preparation,2-3 hours,3rd year,Home,High
45756.11623842592,vthompson@example.net,Collect dataset,Renewable Energy,45781.61361111111,Written Work,1-2 hours,2nd year,Home and college,High
45773.38574074074,brownrachel@example.org,Project,IoT,45802.59409722222,Observation,1-2 hours,3rd year,Home,High
45778.8140162037,mclaughlinkevin@example.org,Seminar,CSE,45807.989537037036,Project,1-2 hours,3rd year,Home,High
45749.85947916667,pchandler@example.net,Assignment,DBMS,45808.786458333336,Placement Preparation,2-3 hours,3rd year,Home,High
45761.48207175926,hjackson@example.org,Seminar,OOSE,45798.14886574074,Exam Preparation,1-2 hours,3rd year,Home,High
45753.82407407407,charlesguerrero@example.org,Study,Video Editing,45805.696550925924,Written Work,2-3 hours,3rd year,Home and college,High
45768.46844907408,smithsavannah@example.com,Prepare,Cloud Computing,45800.1328125,Seminar Preparation,1 hour,3rd year,Home and college,High
45774.80746527778,franklinwilliam@example.com,Prepare,CSE,45788.25597222222,Exam Preparation,>3 hours,3rd year,Home,High
45774.100266203706,zimmermanjoanne@example.com,Project,Renewable Energy,45808.62123842593,Project,1 hour,3rd year,Home,High
45762.03082175926,ramirezallison@example.com,Seminar,Mathematics,45793.57326388889,Project,1 hour,3rd year,Home and college,High
45767.154502314814,kellyann@example.org,Study,Renewable Energy,45781.58920138889,Class Test,2-3 hours,3rd year,Home,High
45762.37877314815,rachel46@example.net,Seminar,CSE,45803.64189814815,Exam Preparation,2-3 hours,3rd year,Home,High
45752.88133101852,riverachristina@example.com,Prepare,IoT,45781.17983796296,Exam Preparation,1 hour,2nd year,Home,High
45778.619363425925,natalie36@example.net,Seminar,Video Editing,45786.40258101852,Seminar Preparation,1-2 hours,2nd year,Home and college,High
45773.866377314815,jrodriguez@example.org,Seminar,Renewable Energy,45803.03780092593,Project,1 hour,3rd year,Home,High
45760.55877314815,spencerdavid@example.com,Prepare,DBMS,45779.907314814816,Written Work,1-2 hours,3rd year,Home and college,High
45774.87353009259,patrickmarsh@example.net,Project,Not Course Related,45791.34079861111,Exam Preparation,>3 hours,3rd year,Home,High
45766.48677083333,calebjohnson@example.com,Prepare,Not Course Related,45784.63447916666,Project,1 hour,3rd year,Home,High
45766.522731481484,parkermelanie@example.com,Project,It,45788.13358796296,Project,>3 hours,3rd year,Home and college,High
45754.06128472222,william38@example.com,Study,Cloud Computing,45799.64554398148,Exam Preparation,1-2 hours,3rd year,Home,High
45761.30584490741,lisarivera@example.org,Study,Not Course Related,45794.60008101852,Exam Preparation,30 min,3rd year,Home,High
45752.6518287037,joshuamorgan@example.net,Seminar,DBMS,45808.791979166665,Placement Preparation,1 hour,3rd year,Home and college,High
45771.65758101852,danielsbrandon@example.net,Seminar,It,45807.65107638889,Seminar Preparation,>3 hours,3rd year,Home and college,High
45761.55872685185,mclaughlinamanda@example.net,Collect dataset,AIML,45786.028958333336,Seminar Preparation,2-3 hours,3rd year,Home,High
45764.13306712963,whiterobin@example.net,Assignment,IoT,45794.303136574075,Project,1-2 hours,3rd year,Home,High
45773.51201388889,bharris@example.com,Assignment,Video Editing,45804.63452546296,Quiz Preparation,>3 hours,3rd year,Home,High
45778.41170138889,antonio58@example.org,Assignment,Cloud Computing,45796.21152777778,Short Film,30 min,2nd year,Home,High
45774.41447916667,qatkinson@example.com,Study,CSE,45804.4809837963,Observation,1-2 hours,3rd year,Home,High
45754.07270833333,michael25@example.org,Collect dataset,Not Course Related,45791.27479166666,Project,30 min,2nd year,Home,High
45758.749027777776,williambrown@example.org,Collect dataset,Not Course Related,45791.25378472222,Exam Preparation,1 hour,3rd year,Home,High
45777.048680555556,laurenpatel@example.org,Seminar,Not Course Related,45783.96618055556,Exam Preparation,>3 hours,3rd year,Home and college,High
45759.54667824074,joshuamalone@example.com,Collect dataset,IoT,45809.54474537037,Placement Preparation,2-3 hours,3rd year,Home,High
45764.55515046296,tylerthomas@example.net,Study,Not Course Related,45782.756585648145,Project,>3 hours,3rd year,Home,High
45754.65241898148,luis90@example.org,Seminar,Renewable Energy,45800.01604166667,Written Work,2-3 hours,3rd year,Home,High
45753.365902777776,eric75@example.net,Assignment,Not Course Related,45800.41769675926,Exam Preparation,30 min,2nd year,Home,High
45767.8506712963,vmurphy@example.com,Project,Cloud Computing,45805.39847222222,Exam Preparation,1 hour,3rd year,Home and college,High
45776.057754629626,mariamccarthy@example.org,Seminar,OOSE,45807.09726851852,Placement Preparation,>3 hours,2nd year,Home,High
45774.711435185185,owensfrederick@example.com,Prepare,Renewable Energy,45792.66275462963,Project,>3 hours,3rd year,Home,High
45763.78847222222,jaredmiller@example.com,Study,Python,45800.072384259256,Exam Preparation,>3 hours,2nd year,Home,High
45773.910405092596,xfernandez@example.com,Seminar,OOSE,45798.916400462964,Project,1 hour,3rd year,Home and college,High
45774.98079861111,jessicagonzalez@example.net,Prepare,Cloud Computing,45790.529328703706,Exam Preparation,>3 hours,3rd year,Home,High
45765.82424768519,lauragreen@example.com,Collect dataset,Game Development,45795.28386574074,Class Test,30 min,3rd year,Home,High
45762.88170138889,jeanettesmith@example.com,Project,OOSE,45791.295023148145,Placement Preparation,1 hour,2nd year,Home and college,High
45777.54615740741,cheyenne14@example.org,Prepare,IoT,45805.061435185184,Project,>3 hours,3rd year,Home and college,High
45750.83925925926,matthew02@example.com,Project,Not Course Related,45784.76094907407,Project,>3 hours,3rd year,Home,High
45759.74599537037,oreynolds@example.com,Study,TOC,45797.46774305555,Exam Preparation,1-2 hours,2nd year,Home,High
45749.72008101852,walkerdavid@example.com,Prepare,Not Course Related,45785.53841435185,Exam Preparation,>3 hours,3rd year,Home,High
45757.07373842593,gregbrown@example.com,Prepare,CSE,45798.61164351852,Assignment,>3 hours,3rd year,Home,High
45771.26793981482,ambernelson@example.org,Project,Video Editing,45793.46511574074,Seminar Preparation,2-3 hours,3rd year,Home,High
45778.348657407405,andrew43@example.com,Prepare,Not Course Related,45808.51824074074,Short Film,1-2 hours,2nd year,Home,High
45766.124375,mbrown@example.org,Seminar,DBMS,45787.452627314815,Assignment,1 hour,3rd year,Home and college,High
45753.04540509259,davidgordon@example.net,Assignment,Renewable Energy,45786.888344907406,Project,1-2 hours,3rd year,Home and college,High
45756.17949074074,smckenzie@example.net,Collect dataset,Not Course Related,45796.565,Quiz Preparation,1 hour,3rd year,Home,High
45755.02116898148,reedsusan@example.com,Project,Ios,45780.53865740741,Assignment,>3 hours,3rd year,Home,High
45757.74653935185,kyle60@example.org,Assignment,AIML,45805.04809027778,Placement Preparation,2-3 hours,2nd year,Home,High
45769.72725694445,williamwilkinson@example.net,Study,IoT,45800.821805555555,Seminar Preparation,2-3 hours,3rd year,Home,High
45769.81153935185,gwalsh@example.com,Seminar,TOC,45790.54056712963,Exam Preparation,1 hour,3rd year,Home,High
45763.939409722225,sethortega@example.net,Prepare,Evs,45799.42393518519,Exam Preparation,2-3 hours,3rd year,Home,High
45778.12715277778,medinacrystal@example.net,Assignment,Not Course Related,45804.205416666664,Test,>3 hours,2nd year,Home and college,High
45756.15641203704,dsmith@example.net,Collect dataset,Not Course Related,45807.215636574074,Written Work,2-3 hours,3rd year,Home,High
45779.57618055555,noah77@example.org,Project,Not Course Related,45807.797581018516,Short Film,>3 hours,2nd year,Home,High
